Recipe Name,Recipe URL,Ingredients
Spaghetti Carbonara,https://www.allrecipes.com/recipe/spaghetti-carbonara,"200g spaghetti, 100g pancetta, 2 large eggs, 50g Parmesan cheese, 1 garlic clove, 1 tsp black pepper, Salt to taste"
Chicken Curry,https://www.allrecipes.com/recipe/chicken-curry,"500g chicken breast, 1 onion, 2 tomatoes, 2 cloves garlic, 1 tbsp ginger paste, 1 tsp turmeric, 1 tsp cumin, 1 tsp coriander, 200ml coconut milk, Salt to taste"
Vegetable Stir Fry,https://www.allrecipes.com/recipe/vegetable-stir-fry,"1 bell pepper, 1 carrot, 100g broccoli, 50g mushrooms, 2 tbsp soy sauce, 1 tbsp sesame oil, 1 garlic clove"
Beef Stroganoff,https://www.allrecipes.com/recipe/beef-stroganoff,"300g beef strips, 1 onion, 200g mushrooms, 200ml sour cream, 1 tbsp flour, 2 tbsp butter, 1 tsp paprika, Salt and pepper to taste"
Grilled Salmon,https://www.allrecipes.com/recipe/grilled-salmon,"2 salmon fillets, 1 tbsp olive oil, 1 tsp lemon zest, 1 tbsp lemon juice, 1 tsp black pepper, 1 tsp salt, 1 garlic clove minced"
Lemon Garlic Shrimp,https://www.allrecipes.com/recipe/lemon-garlic-shrimp,"200g shrimp, 2 tbsp butter, 2 garlic cloves, 1 tsp lemon zest, 1 tbsp lemon juice, 1 tsp red pepper flakes, Salt to taste"
Avocado Toast,https://www.allrecipes.com/recipe/avocado-toast,"1 avocado, 2 slices whole wheat bread, 1 tbsp olive oil, 1/2 tsp salt, 1/2 tsp black pepper, 1 tsp lemon juice, Chili flakes (optional)"
Tomato Basil Soup,https://www.allrecipes.com/recipe/tomato-basil-soup,"4 tomatoes, 1 onion, 2 cloves garlic, 500ml vegetable broth, 1 tsp basil, 1 tbsp olive oil, Salt and pepper to taste"
Classic Margherita Pizza,https://www.allrecipes.com/recipe/classic-margherita-pizza,"200g pizza dough, 100g tomato sauce, 100g mozzarella cheese, 5 fresh basil leaves, 1 tbsp olive oil, 1/2 tsp salt"
Banana Pancakes,https://www.allrecipes.com/recipe/banana-pancakes,"2 bananas, 2 eggs, 100g flour, 1 tsp baking powder, 100ml milk, 1 tbsp sugar, 1 tbsp butter"
